graph_id,n,m,edges,best_k,best_ordering,best_coloring,num_orderings,num_optimal_orderings,has_hamiltonian_path,max_degree,avg_degree,clique_number,num_deg_ge_2,num_deg_ge_3,num_deg_ge_5,num_isolated,num_components,component_sizes,density
42,12,11,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11]]",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1, ""10"": 1, ""11"": 1}",512,1,1,2,1.8333333333333333,2,10,0,0,0,1,[12],0.16666666666666666
43,12,5,"[[0, 8], [2, 6], [2, 9], [3, 8], [8, 11]]",2,"[1, 0, 8, 3, 11, 9, 2, 6, 4, 5, 7, 10]","{""3"": 1, ""8"": 2, ""11"": 2, ""0"": 1, ""1"": 1, ""2"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""9"": 1, ""10"": 1}",512,8,0,3,0.8333333333333334,2,2,1,0,5,7,"[4, 3, 1, 1, 1, 1, 1]",0.07575757575757576
44,3,2,"[[0, 1], [0, 2]]",1,"[1, 0, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
45,4,3,"[[0, 1], [0, 3], [1, 3]]",2,"[0, 1, 3, 2]","{""1"": 1, ""0"": 2, ""3"": 2, ""2"": 1}",24,12,0,2,1.5,3,3,0,0,1,2,"[3, 1]",0.5
46,7,9,"[[0, 1], [0, 2], [1, 2], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]",3,"[0, 1, 2, 3, 4, 5, 6]","{""4"": 1, ""5"": 2, ""1"": 1, ""3"": 3, ""6"": 3, ""0"": 2, ""2"": 2}",5040,288,0,3,2.5714285714285716,4,7,4,0,0,2,"[4, 3]",0.42857142857142855
47,9,8,"[[0, 8], [1, 5], [1, 8], [2, 5], [3, 5], [3, 8], [4, 8], [6, 8]]",3,"[5, 1, 2, 0, 8, 4, 7, 3, 6]","{""3"": 1, ""5"": 1, ""8"": 2, ""0"": 3, ""1"": 2, ""2"": 3, ""4"": 3, ""7"": 3, ""6"": 2}",512,14,0,5,1.7777777777777777,2,4,2,1,1,2,"[8, 1]",0.2222222222222222
48,7,7,"[[0, 1], [0, 2], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6]]",2,"[0, 1, 2, 3, 4, 5, 6]","{""1"": 1, ""0"": 2, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,88,1,3,2.0,3,6,1,0,0,1,[7],0.3333333333333333
49,6,12,"[[0, 1], [0, 3], [0, 4], [0, 5], [1, 2], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5]]",4,"[0, 1, 3, 4, 5, 2]","{""3"": 1, ""4"": 2, ""1"": 3, ""5"": 4, ""0"": 4, ""2"": 3}",720,192,1,4,4.0,3,6,6,0,0,1,[6],0.8
50,6,5,"[[0, 5], [1, 5], [2, 3], [3, 4], [3, 5]]",2,"[0, 1, 5, 2, 3, 4]","{""1"": 1, ""2"": 1, ""5"": 2, ""0"": 2, ""3"": 2, ""4"": 1}",720,64,0,3,1.6666666666666667,2,2,2,0,0,1,[6],0.3333333333333333
51,8,7,"[[0, 6], [1, 2], [1, 7], [2, 4], [3, 4], [3, 5], [4, 5]]",2,"[0, 6, 1, 2, 7, 3, 4, 5]","{""2"": 1, ""4"": 1, ""3"": 2, ""7"": 2, ""1"": 2, ""5"": 2, ""0"": 1, ""6"": 1}",40320,432,0,3,1.75,3,5,1,0,0,2,"[6, 2]",0.25
52,5,0,[],1,"[0, 1, 2, 3, 4]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}",120,120,0,0,0.0,1,0,0,0,5,5,"[1, 1, 1, 1, 1]",0
53,7,11,"[[0, 1], [0, 2], [0, 3], [0, 4], [1, 2], [1, 3], [1, 4], [2, 3], [2, 4], [3, 4], [5, 6]]",4,"[0, 1, 2, 3, 4, 5, 6]","{""1"": 1, ""2"": 2, ""3"": 3, ""0"": 4, ""4"": 4, ""5"": 1, ""6"": 1}",5040,480,0,4,3.142857142857143,5,5,5,0,0,2,"[5, 2]",0.5238095238095238
54,12,16,"[[0, 1], [2, 3], [2, 5], [2, 6], [2, 8], [3, 6], [4, 7], [4, 10], [5, 6], [5, 8], [5, 9], [6, 8], [6, 9], [7, 10], [7, 11], [10, 11]]",4,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 4, 7, 11]","{""6"": 1, ""3"": 2, ""5"": 3, ""8"": 4, ""2"": 4, ""4"": 1, ""7"": 2, ""9"": 2, ""10"": 3, ""11"": 3, ""0"": 1, ""1"": 1}",512,5,0,5,2.6666666666666665,4,10,6,1,0,3,"[6, 4, 2]",0.24242424242424243
55,11,5,"[[0, 5], [1, 9], [3, 7], [4, 7], [5, 8]]",1,"[2, 0, 5, 8, 1, 9, 3, 7, 4, 6, 10]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1, ""10"": 1}",512,2,0,2,0.9090909090909091,2,2,0,0,3,6,"[3, 3, 2, 1, 1, 1]",0.09090909090909091
56,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
57,9,27,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 8], [1, 2], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [3, 4], [3, 5], [3, 6], [3, 8], [4, 5], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]",6,"[4, 1, 5, 3, 0, 2, 6, 8, 7]","{""0"": 1, ""2"": 2, ""3"": 3, ""5"": 4, ""6"": 5, ""8"": 6, ""1"": 5, ""4"": 6, ""7"": 4}",512,8,1,8,6.0,5,9,9,8,0,1,[9],0.75
58,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
59,7,21,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]",6,"[0, 1, 2, 3, 4, 5, 6]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""0"": 6, ""6"": 6}",5040,5040,1,6,6.0,7,7,7,7,0,1,[7],1.0
60,5,4,"[[0, 3], [1, 2], [2, 4], [3, 4]]",1,"[0, 3, 4, 2, 1]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}",120,2,1,2,1.6,2,3,0,0,0,1,[5],0.4
61,11,10,"[[1, 3], [1, 9], [2, 3], [2, 6], [3, 10], [4, 10], [7, 9], [7, 10], [8, 10], [9, 10]]",3,"[0, 1, 9, 3, 7, 10, 2, 4, 8, 6, 5]","{""2"": 1, ""4"": 2, ""7"": 2, ""10"": 3, ""3"": 1, ""8"": 3, ""9"": 3, ""6"": 1, ""1"": 1, ""0"": 1, ""5"": 1}",512,4,0,5,1.8181818181818181,3,6,3,1,2,3,"[9, 1, 1]",0.18181818181818182
62,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
63,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
64,4,4,"[[0, 1], [0, 3], [1, 3], [2, 3]]",2,"[0, 1, 3, 2]","{""1"": 1, ""0"": 2, ""3"": 2, ""2"": 1}",24,8,1,3,2.0,3,3,1,0,0,1,[4],0.6666666666666666
65,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
66,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
67,5,10,"[[0, 1], [0, 2], [0, 3], [0, 4], [1, 2], [1, 3], [1, 4], [2, 3], [2, 4], [3, 4]]",4,"[0, 1, 2, 3, 4]","{""1"": 1, ""2"": 2, ""3"": 3, ""0"": 4, ""4"": 4}",120,120,1,4,4.0,5,5,5,0,0,1,[5],1.0
68,6,5,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]",1,"[0, 1, 2, 3, 4, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,2,1,2,1.6666666666666667,2,4,0,0,0,1,[6],0.3333333333333333
69,4,6,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]",3,"[0, 1, 2, 3]","{""1"": 1, ""2"": 2, ""0"": 3, ""3"": 3}",24,24,1,3,3.0,4,4,4,0,0,1,[4],1.0
70,10,4,"[[1, 2], [2, 3], [4, 5], [5, 6]]",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",512,3,0,2,0.8,2,2,0,0,4,6,"[3, 3, 1, 1, 1, 1]",0.08888888888888889
71,6,3,"[[0, 1], [3, 4], [4, 5]]",1,"[0, 1, 2, 3, 4, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,24,0,2,1.0,2,1,0,0,1,3,"[3, 2, 1]",0.2
72,3,1,"[[0, 2]]",1,"[0, 2, 1]","{""0"": 1, ""1"": 1, ""2"": 1}",6,4,0,1,0.6666666666666666,2,0,0,0,1,2,"[2, 1]",0.3333333333333333
73,6,5,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5]]",3,"[1, 2, 0, 3, 4, 5]","{""0"": 1, ""3"": 2, ""4"": 3, ""2"": 2, ""5"": 1, ""1"": 1}",720,240,0,5,1.6666666666666667,2,1,1,1,0,1,[6],0.3333333333333333
74,5,4,"[[0, 1], [2, 3], [2, 4], [3, 4]]",2,"[0, 1, 2, 3, 4]","{""3"": 1, ""2"": 2, ""4"": 2, ""0"": 1, ""1"": 1}",120,24,0,2,1.6,3,3,0,0,0,2,"[3, 2]",0.4
75,7,0,[],1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,5040,0,0,0.0,1,0,0,0,7,7,"[1, 1, 1, 1, 1, 1, 1]",0
76,4,3,"[[0, 1], [0, 2], [2, 3]]",1,"[1, 0, 2, 3]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,2,1,2,1.5,2,2,0,0,0,1,[4],0.5
77,8,2,"[[1, 4], [5, 7]]",1,"[0, 1, 4, 2, 3, 5, 7, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}",40320,2880,0,1,0.5,2,0,0,0,4,6,"[2, 2, 1, 1, 1, 1]",0.07142857142857142
78,6,6,"[[0, 1], [0, 2], [1, 2], [2, 3], [3, 4], [4, 5]]",2,"[0, 1, 2, 3, 4, 5]","{""1"": 1, ""0"": 2, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1}",720,40,1,3,2.0,3,5,1,0,0,1,[6],0.4
79,7,6,"[[0, 6], [1, 3], [1, 5], [1, 6], [2, 6], [3, 4]]",2,"[0, 2, 6, 1, 3, 4, 5]","{""1"": 1, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""0"": 2, ""6"": 2}",5040,144,0,3,1.7142857142857142,2,3,2,0,0,1,[7],0.2857142857142857
80,12,6,"[[0, 1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11]]",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1, ""10"": 1, ""11"": 1}",512,2,0,1,1.0,2,0,0,0,0,6,"[2, 2, 2, 2, 2, 2]",0.09090909090909091
81,3,1,"[[1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,4,0,1,0.6666666666666666,2,0,0,0,1,2,"[2, 1]",0.3333333333333333
82,7,14,"[[0, 1], [0, 2], [0, 5], [0, 6], [1, 2], [1, 4], [2, 3], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [5, 6]]",4,"[0, 1, 2, 4, 5, 6, 3]","{""5"": 1, ""2"": 2, ""4"": 3, ""6"": 4, ""0"": 4, ""1"": 3, ""3"": 2}",5040,244,1,5,4.0,4,7,7,2,0,1,[7],0.6666666666666666
83,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
84,3,0,[],1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,6,0,0,0.0,1,0,0,0,3,3,"[1, 1, 1]",0
85,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
86,6,3,"[[1, 4], [2, 3], [3, 5]]",1,"[0, 1, 4, 2, 3, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,24,0,2,1.0,2,1,0,0,1,3,"[3, 2, 1]",0.2
